sample_id,category,year,filename,section_position,matched_categories,matched_keywords,section_text,power,privacy,safety,choice,community,engagement,ip_protection,improvement,care,accountability,B1_authenticity_claims,B2_religious_sensitivity,B3_indigenous_minority,B4_traditional_craftsmanship,B5_commercialization_culture,B6_ai_cultural_content,human_notes
H021,CG,sub,CG_sub_20240218100501_N5LS5EFQSMGM.html,18-20,cultural,cultural practice,"Content is ineligible for the FYF if it shows moderate body exposure of a young person, or significant body exposure of an adult. We allow regional exceptions for body exposure in limited situations, such as common cultural practices. **More information** **Nudity** is showing intimate body parts that prevailing cultural norms indicate should be fully covered.",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,FYF body exposure restrictions with cultural exception. power=1 ('Content is ineligible for the FYF'). safety=1 ('moderate body exposure of a young person' — youth protection). B3=1 ('common cultural practices' + 'prevailing cultural norms').
H022,CG,sub,CG_sub_20230422025733_RL2H5CZGNEKF.html,27-29,indigenous|traditional,"indigenous, tradition","**Moderate body exposure** includes showing the visible outline of covered genitalia, nipples through clothing, and exposed skin near an intimate body part, such as a part of a breast and the upper part of the thigh. **NOT allowed** 
- Nudity of adults, including photography and digitally created images such as manga and anime 
- Nudity of young people, including visual fine art, objects, photography, and digitally created images such as manga and anime(learn more about CSAM inYouth Exploitation) 
- Significant body exposure of young people **Age-restricted (18 years and older)** 
- Significant body exposure of adults **FYF** **ineligible** 
- Significant body exposure of adults 
- Moderate body exposure of young people **Allowed** 
- Non-sexualized content showing areolas or nipples of:infants or toddlersgirls or women in medical contexts, for educational purposes, or as a part of a culturally accepted practice, such as indigenous populations who do not traditionally wear top coveringswomen in culturally expected contexts, such as breastfeeding and chestfeeding, at political protests, or at large celebration festivals such as Carnival 
- Areolas and nipples of men and boys (including those who are transgender or intersex), or people who are non-binary 
- Body exposure that appears in culturally expected contexts, such as athletes wearing sports apparel and swimsuits at a beach or festival 

Sexually Suggestive Content

 We welcome performances and dances where people can creatively express themselves, celebrate their culture, or seek to entertain. We are mindful that certain behaviors related to sexual arousal or suggestiveness may be offensive to some people and may put young people at risk of exploitation.",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Body exposure policy (similar to H014). power=1 (NOT allowed/Age-restricted/FYF rules). safety=1 (young people protection + 'risk of exploitation'). B3=1 ('indigenous populations' + 'culturally expected'). B4=1 ('traditionally wear top coverings').
H023,CG,sub,CG_sub_20240824065022_HVFIR2FNEZCE.html,21-23,indigenous,marginalized,"We know some communities historically have been afforded fewer opportunities for engagement, so we are committed to the principle of equality and mitigating harms that disproportionately affect marginalized groups. - Protect individual privacy: We are committed to protecting and respecting the privacy of our community and of individuals who are shown or discussed in content on the platform. We seek to ensure that content shared on the platform does not expose anyone’s personal information or invade their intimate privacy.",0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Equality + privacy values statement. privacy=1 ('Protect individual privacy' + privacy commitment). safety=1 ('mitigating harms'). community=1 ('our community'). B3=1 ('marginalized groups'). No 'must/violation' language so power=0.
H024,CG,sub,CG_sub_20230523031217_NQY3J6URHJBL.html,28-30,indigenous|traditional,"indigenous, tradition","**NOT allowed** 
- Nudity of adults, including photography and digitally created images such as manga and anime 
- Nudity of young people, including visual fine art, objects, photography, and digitally created images such as manga and anime(learn more about CSAM inYouth Exploitation) 
- Significant body exposure of young people **Age-restricted (18 years and older)** 
- Significant body exposure of adults **FYF** **ineligible** 
- Significant body exposure of adults 
- Moderate body exposure of young people **Allowed** 
- Non-sexualized content showing areolas or nipples of:infants or toddlersgirls or women in medical contexts, for educational purposes, or as a part of a culturally accepted practice, such as indigenous populations who do not traditionally wear top coveringswomen in culturally expected contexts, such as breastfeeding and chestfeeding, at political protests, or at large celebration festivals such as Carnival 
- Areolas and nipples of men and boys (including those who are transgender or intersex), or people who are non-binary 
- Body exposure that appears in culturally expected contexts, such as athletes wearing sports apparel and swimsuits at a beach or festival 

Sexually Suggestive Content

 We welcome performances and dances where people can creatively express themselves, celebrate their culture, or seek to entertain. We are mindful that certain behaviors related to sexual arousal or suggestiveness may be offensive to some people and may put young people at risk of exploitation. **We do not allow seductive performances or allusions to sexual activity by young people, or the use of sexually explicit narratives by anyone.** We do allow some artistic content with sexual references, such as song lyrics.",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Body exposure policy (near-duplicate of H014/H022). power=1 (NOT allowed/Age-restricted/FYF rules). safety=1 (CSAM + 'risk of exploitation'). B3=1 ('indigenous populations' + 'culturally expected'). B4=1 ('traditionally wear top coverings').
H025,CG,sub,CG_sub_20240714035359_KN4PX5WSU2IS.html,20-22,indigenous,marginalized,"We value and celebrate different cultures, identities, appearances, viewpoints, interests, and experiences. We know some communities historically have been afforded fewer opportunities for engagement, so we are committed to the principle of equality and mitigating harms that disproportionately affect marginalized groups. - Protect individual privacy: We are committed to protecting and respecting the privacy of our community and of individuals who are shown or discussed in content on the platform.",0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Inclusion + privacy values (similar to H023). privacy=1 (privacy commitment). safety=1 ('mitigating harms'). community=1 ('value and celebrate different cultures, identities' + 'our community'). B3=1 ('marginalized groups')."
H026,CG,sub,CG_sub_20240403002448_BZVLVXSJAP4J.html,22-24,indigenous,marginalized,"We value and celebrate different cultures, identities, appearances, viewpoints, interests, and experiences. We know some communities historically have been afforded fewer opportunities for engagement, so we are committed to the human right ofequal protection, equity, and mitigating harms that disproportionately affect marginalized or underrepresented groups. - Protect individual privacy: The right toprivacyprovides people a sense of autonomy, comfort, and security.",0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Equity + privacy values. privacy=1 ('right to privacy'). safety=1 ('mitigating harms'). community=1 ('celebrate different cultures, identities, appearances...'). B3=1 ('marginalized or underrepresented groups')."
H027,CG,sub,CG_sub_20240824065022_HVFIR2FNEZCE.html,19-21,indigenous,marginalized,"- Champion inclusion:We want people from around the world to feel welcome on our platform. We value and celebrate different cultures, identities, appearances, viewpoints, interests, and experiences. We know some communities historically have been afforded fewer opportunities for engagement, so we are committed to the principle of equality and mitigating harms that disproportionately affect marginalized groups.",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"Champion inclusion value statement. community=1 ('feel welcome' + 'celebrate different cultures, identities'). safety=1 ('mitigating harms'). B3=1 ('marginalized groups'). No rules/privacy specifics in this excerpt."
H028,NEWS,2020,NEWS_20201229140107_DWAG5R6FF4PO.html,46-48,indigenous,marginalized,"**Building with empathy and inclusivity** Safety and inclusion go hand-in-hand, and we believe in maintaining an environment that celebrates everyone. We've evolved our hate speech policy to better account for scenarios where underrepresented groups may feel excluded or marginalized and to counter hateful ideologies. It's critical that we listen to the perspectives of our users, learn from them, and act.",0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,"Newsroom post on policy evolution. safety=1 ('Safety and inclusion go hand-in-hand'). community=1 ('empathy and inclusivity' + 'celebrates everyone'). improvement=1 ('We've evolved our hate speech policy' + 'listen, learn, and act'). B3=1 ('underrepresented groups' + 'marginalized')."
H029,CG,2022,CG_20221022195932_VHID7Y5MESBJ.html,107-109,religious,"religio, religi","Organized hate groups We use the term “organized hate” to refer to those individuals and organizations who attack people based on protected attributes, such as race, ethnicity, national origin, religion, caste, sexual orientation, sex, gender, gender identity, or immigration status. We consider attacks to include actions that incite violence or hatred, that aim to dehumanize individuals or groups, or that embrace a hateful ideology. Criminal organizations Criminal organizations are transnational, national, or local groups that have engaged in serious crimes, including violent crimes (e.g., homicide, rape, robbery, assault), trafficking (e.g., human, organ, drug, weapons), kidnapping, financial crimes (e.g., extortion, blackmail, fraud, money laundering), or cybercrime.",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Organized hate + criminal orgs definitions. power=1 (defines banned actor categories). safety=1 (violence/hate/serious crimes). B2=1 (religion as protected attribute in hate-attack list).
H030,CG,sub,CG_sub_20231110202514_FG3J4SQKXFTW.html,9-11,religious,"Religio, Religi","**We do not allow any hateful behavior, hate speech, or promotion of hateful ideologies.** This includes content that attacks a person or group because of protected attributes, including: 
- Caste 
- Ethnicity 
- National Origin 
- Race 
- Religion 
- Tribe 
- Immigration Status 
- Gender 
- Gender Identity 
- Sex 
- Sexual Orientation 
- Disability 
- Serious Disease **More information** **Hateful ideologies** are systems of beliefs that exclude, oppress, or otherwise discriminate against individuals based on their protected attributes, such as racial supremacy, misogyny, anti-LGBTQIA+, and antisemitism. **Protected attributes** are personal characteristics that we are born with, are immutable, or cannot change without severe psychological harm, and which may result in disproportionate stigmatization. In addition, we also provide some protections related to age, and may consider other protected attributes when we have additional context, such as specific regional information provided to us by a local non-governmental organization (NGO).",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,Hateful behavior prohibition (similar to H004). power=1 ('we do not allow'). safety=1 (hate speech harm). B2=1 (Religion in protected attributes). B3=1 (Tribe in protected attributes).
